pl_name,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim
HAT-P-12 b,Published Confirmed,0,3.21305992,0.00000035,-0.00000035,0,63.88383,3.49613,-3.49613,0
HAT-P-13 b,Published Confirmed,0,2.9162382,0.0000016,-0.0000016,0,287.95398,7.31009,-7.31009,0
HAT-P-13 b,Published Confirmed,0,2.9162383,0.0000022,-0.0000022,0,285.72917,9.5349,-9.21707,0
HAT-P-13 b,Published Confirmed,0,2.91626,0.00001,-0.00001,0,271.098,9.217,-14.62,0
HAT-P-13 b,Published Confirmed,0,2.9162381,0.0000021,-0.0000022,0,285.72917,9.5349,-9.21707,0
HAT-P-13 b,Published Confirmed,0,2.9162383,0.0000022,-0.0000022,0,280.64389,8.58141,-14.93801,0
HAT-P-13 b,Published Confirmed,0,2.91625,0.000015,-0.000015,0,270.462,12.077,-12.077,0
HAT-P-14 b,Published Confirmed,0,4.6276691,0.000005,-0.000005,0,721.79193,26.37989,-26.37989,0
HAT-P-14 b,Published Confirmed,0,4.627669,0.000005,-0.000005,0,709.367,18.751,-18.751,0
HAT-P-14 b,Published Confirmed,0,4.62767,0.000005,-0.000005,0,1093.3352,200.2329,-200.2329,0
HAT-P-14 b,Published Confirmed,0,4.627682,0.000003,-0.000003,0,731.96249,17.16282,-17.16282,0
HAT-P-14 b,Published Confirmed,0,4.627669,0.000005,-0.000005,0,709.39656,18.43414,-18.43414,0
HAT-P-14 b,Published Confirmed,0,4.627649,0.000008,-0.000008,0,724.6524,22.2481,-22.2481,0
HAT-P-15 b,Published Confirmed,0,10.8635,0.000027,-0.000027,0,616.5902,95.349,-95.349,0
HAT-P-15 b,Published Confirmed,0,10.863502,0.000027,-0.000027,0,618.471,20.976,-20.976,0
HAT-P-15 b,Published Confirmed,0,10.863502,0.000037,-0.000037,0,619.45067,25.4264,-24.79074,0
HAT-P-16 b,Published Confirmed,0,2.77597024,0.00000066,-0.00000066,0,1331.38987,29.24036,-29.24036,0
HAT-P-16 b,Published Confirmed,0,2.77596,0.000003,-0.000003,0,1332.605,29.875,-29.875,0
HAT-P-16 b,Published Confirmed,0,2.7759712,0.0000015,-0.0000015,0,1341.56043,29.24036,-29.24036,0
HAT-P-16 b,Published Confirmed,0,2.77596,,,0,1332.66119,29.87602,-29.87602,0
HAT-P-17 b,Published Confirmed,0,10.33852,0.000009,-0.000009,0,184.3414,19.0698,-19.0698,0
HAT-P-17 b,Published Confirmed,0,10.338523,0.000009,-0.000009,0,169.71,5.72,-5.72,0
HAT-P-17 b,Published Confirmed,0,10.338523,0.000009,-0.000009,0,170.67471,5.40311,-5.40311,0
HAT-P-18 b,Published Confirmed,0,5.508023,0.000006,-0.000006,0,62.61,4.132,-4.132,0
HAT-P-18 b,Published Confirmed,0,5.507978,0.000043,-0.000043,0,62.29468,2.54264,-2.54264,0
HAT-P-18 b,Published Confirmed,0,5.508023,0.000006,-0.000006,0,63.566,6.03877,-6.03877,0
HAT-P-19 b,Published Confirmed,0,4.008778,0.000006,-0.000006,0,92.802,5.721,-5.721,0
HAT-P-19 b,Published Confirmed,0,4.008778,0.000006,-0.000006,0,90.26372,5.08528,-5.08528,0
HAT-P-2 b,Published Confirmed,0,5.63332,,,0,2771.4776,123.9537,-114.4188,0
HAT-P-2 b,Published Confirmed,0,5.6334729,0.0000061,-0.0000061,0,2888.95,76.28,-76.28,0
HAT-P-2 b,Published Confirmed,0,5.6334754,0.0000026,-0.0000026,0,2765.121,60.3877,-63.566,0
HAT-P-2 b,Published Confirmed,0,5.63341,0.00013,-0.00013,0,2873.1832,158.915,-158.915,0
HAT-P-2 b,Published Confirmed,0,5.6,,,0,2828.6,,,0
HAT-P-2 b,Published Confirmed,0,5.6334729,0.0000061,-0.0000061,0,2777.8342,85.8141,-85.8141,0
HAT-P-2 b,Published Confirmed,0,5.63341,,,0,2739.6946,123.9537,-174.8065,0
HAT-P-2 b,Published Confirmed,0,5.63347,0.000006,-0.000006,0,3632.7969,616.5902,-616.5902,0
HAT-P-20 b,Published Confirmed,0,2.87531694,0.00000019,-0.00000019,0,2294.7326,114.4188,-114.4188,0
HAT-P-20 b,Published Confirmed,0,2.875317,0.000004,-0.000004,0,2302.899,59.432,-59.432,0
HAT-P-20 b,Published Confirmed,0,2.9,,,0,2320.1,,,0
HAT-P-20 b,Published Confirmed,0,2.8753186,0.0000002,-0.0000002,0,2310.6241,57.2094,-57.2094,0
HAT-P-21 b,Published Confirmed,0,4.124481,0.000007,-0.000007,0,1261.7851,41.3179,-41.3179,0
