,times_rv_observed,rv_observed,rv_err_observed,times_rv_orbit,rv_orbit,rv_orbit_sum,times_astrometry_observed,ra_observed,dec_observed,ra_err_observed,dec_err_observed,times_astrometry_orbit,ra_orbit,ra_orbit_sum,dec_orbit,dec_orbit_sum
8753,,,,6450.519751975198,[-0.02437775  5.4489406 ],5.424562851268718,,,,,,3119.8811881188117,[-8.40963524e-08 -3.69000854e-04],-0.00036908494995569553,[-2.76161123e-07 -2.13492187e-04],-0.0002137683483038542
8754,,,,6450.879687968797,[-0.02402505  5.44542361],5.421398565766539,,,,,,3120.237623762376,[-8.52946765e-08 -3.69164953e-04],-0.0003692502481594802,[-2.75458095e-07 -2.13349054e-04],-0.00021362451249948576
8755,,,,6451.239623962396,[-0.02367152  5.44190545],5.418233933651668,,,,,,3120.5940594059402,[-8.64898168e-08 -3.69328965e-04],-0.0003694154550037845,[-2.74744784e-07 -2.13205871e-04],-0.00021348061545408952
8756,,,,6451.599559955996,[-0.02331718  5.43838612],5.4150689430237495,,,,,,3120.9504950495048,[-8.76817296e-08 -3.69492889e-04],-0.00036958057040215205,[-2.74021221e-07 -2.13062636e-04],-0.00021333665722947487
8757,,,,6451.959495949595,[-0.02296204  5.43486562],5.411903581965263,,,,,,3121.3069306930693,[-8.88703713e-08 -3.69656724e-04],-0.000369745594268286,[-2.73287436e-07 -2.12919350e-04],-0.00021319263788782764
8758,,,,6452.319431943195,[-0.02260612  5.43134395],5.408737838541875,,,,,,3121.6633663366333,[-9.00556987e-08 -3.69820471e-04],-0.0003699105265160529,[-2.72543459e-07 -2.12776014e-04],-0.00021304855749170606
8759,,,,6452.679367936794,[-0.02224942  5.42782112],5.405571700802867,,,,,,3122.019801980198,[-9.12376685e-08 -3.69984129e-04],-0.00037007536705948256,[-2.71789320e-07 -2.12632627e-04],-0.00021290441610404004
8760,,,,6453.039303930393,[-0.02189196  5.42429712],5.402405156781401,,,,,,3122.3762376237623,[-9.24162378e-08 -3.70147700e-04],-0.00037024011581276983,[-2.71025051e-07 -2.12489189e-04],-0.00021276021378813055
8761,,,,6453.399239923992,[-0.02153376  5.42077196],5.399238194494964,,,,,,3122.7326732673264,[-9.35913635e-08 -3.70311181e-04],-0.0003704047726902751,[-2.70250683e-07 -2.12345700e-04],-0.00021261595060764727
8762,,,,6453.759175917592,[-0.02117483  5.41724563],5.396070801945745,,,,,,3123.089108910891,[-9.47630030e-08 -3.70474575e-04],-0.0003705693376065288,[-2.69466249e-07 -2.12202160e-04],-0.00021247162662662615
8763,,,,6454.119111911192,[-0.02081517  5.41371814],5.392902967120924,,,,,,3123.4455445544554,[-9.59311136e-08 -3.70637879e-04],-0.00037073381047622817,[-2.6867178e-07 -2.1205857e-04],-0.00021232724190946992
8764,,,,6454.479047904791,[-0.0204548   5.41018948],5.38973467799309,,,,,,3123.8019801980195,[-9.70956530e-08 -3.70801096e-04],-0.00037089819121424267,[-2.67867310e-07 -2.11914929e-04],-0.0002121827965209443
8765,,,,6454.838983898389,[-0.02009374  5.40665967],5.3865659225205995,,,,,,3124.158415841584,[-9.82565788e-08 -3.70964223e-04],-0.0003710624797356129,[-2.67052870e-07 -2.11771238e-04],-0.00021203829052617813
8766,,,,6455.198919891989,[-0.019732    5.40312869],5.383396688647884,,,,,,3124.5148514851485,[-9.94138490e-08 -3.71127262e-04],-0.0003712266759555532,[-2.66228494e-07 -2.11627495e-04],-0.00021189372399066044
8767,,,,6455.558855885589,[-0.01936959  5.39959655],5.380226964305904,,,,,,3124.8712871287125,[-1.00567421e-07 -3.71290212e-04],-0.0003713907797894517,[-2.65394216e-07 -2.11483703e-04],-0.0002117490969802405
8768,,,,6455.918791879189,[-0.01900652  5.39606326],5.377056737412446,,,,,,3125.227722772277,[-1.01717255e-07 -3.71453074e-04],-0.000371554791152874,[-2.64550070e-07 -2.11339859e-04],-0.00021160440956112327
8769,,,,6456.278727872787,[-0.01864281  5.39252881],5.373885995872464,,,,,,3125.5841584158416,[-1.02863307e-07 -3.71615847e-04],-0.00037171870996156176,[-2.63696090e-07 -2.11195966e-04],-0.00021145966179987138
8770,,,,6456.638663866386,[-0.01827847  5.3889932 ],5.370714727578471,,,,,,3125.9405940594056,[-1.04005536e-07 -3.71778531e-04],-0.0003718825361314354,[-2.62832310e-07 -2.11052021e-04],-0.0002113148537634012
8771,,,,6456.998599859986,[-0.01791351  5.38545643],5.3675429204109,,,,,,3126.29702970297,[-1.05143902e-07 -3.71941126e-04],-0.0003720462695785963,[-2.61958767e-07 -2.10908027e-04],-0.0002111699855189808
